Subject,Term 
art,syncopation
art,tie
art,time signature
art,tranquillo
art,triplets
art,unison
art,Vivace
art,whole step
art,whole note
art,tempo
art,Solo
art,Soli
art,Duet
art,Articulation
art,Dynamics
art,Tenuto
art,Harmony
art,Interval
science,Weather
science,Latitude
science,Climate
science,Tundra
science,Boreal forest
science,Temperate forest
science,Woodland
science,Grassland
science,Desert
science,Tropical savanna
science,tropical seasonal forest
science,tropical rain forest
science,Extinction
science,Biodiversity
science,Genetic Diversity
science,Species Diversity
science,Ecosystem Diversity
science,Background Extinction
science,Mass Extinction
science,Natural Resource
science,Overexploitation
science,Habitat Fragmentation
science,Edge Effects
science,Biological Magnification
science,Eutrophication
science,Introduced Species
science,Renewable Resources
science,Nonrenewable Resources
science,Sustainable Use
science,Endemic
science,Bioremediation
science,Biological Augmentation
science,Population Density
science,Dispersion
science,Density-Independent factor
science,Density-Dependent factor
